sku_id,sku_name,category,subcategory,launch_date,mrp,cost_price,is_active,pack_size
SKU0141,Nutrition Vitamins Variant 141,Nutrition,Vitamins,2023-01-21,1430.0,586.0,True,200ml
SKU0142,Body Care Scrub Variant 142,Body Care,Scrub,2021-03-19,1116.0,405.0,False,150ml
SKU0143,Body Care Body Wash Variant 143,Body Care,Body Wash,2021-01-26,916.0,327.0,True,100ml
SKU0144,Body Care Body Lotion Variant 144,Body Care,Body Lotion,2021-08-05,558.0,244.0,True,30 tablets
SKU0145,Body Care Body Wash Variant 145,Body Care,Body Wash,2022-03-31,1266.0,426.0,True,60 capsules
SKU0146,Body Care Scrub Variant 146,Body Care,Scrub,2020-11-24,836.0,259.0,True,250g
SKU0147,Body Care Scrub Variant 147,Body Care,Scrub,2022-02-11,1191.0,423.0,True,150ml
SKU0148,Body Care Scrub Variant 148,Body Care,Scrub,2021-08-13,697.0,314.0,True,1kg
SKU0149,Body Care Scrub Variant 149,Body Care,Scrub,2023-01-25,1386.0,494.0,True,30ml
SKU0150,Body Care Body Lotion Variant 150,Body Care,Body Lotion,2023-05-11,852.0,339.0,True,1kg
SKU0151,Body Care Body Lotion Variant 151,Body Care,Body Lotion,2023-02-10,883.0,328.0,True,100ml
SKU0152,Body Care Body Lotion Variant 152,Body Care,Body Lotion,2022-01-08,809.0,383.0,True,500g
SKU0153,Body Care Scrub Variant 153,Body Care,Scrub,2020-12-05,303.0,105.0,True,250g
SKU0154,Body Care Scrub Variant 154,Body Care,Scrub,2020-11-19,1133.0,489.0,True,50ml
SKU0155,Body Care Body Lotion Variant 155,Body Care,Body Lotion,2022-08-24,1020.0,473.0,True,500g
SKU0156,Body Care Body Lotion Variant 156,Body Care,Body Lotion,2023-05-11,1187.0,499.0,True,200ml
SKU0157,Body Care Body Lotion Variant 157,Body Care,Body Lotion,2022-04-11,259.0,114.0,True,500g
SKU0158,Body Care Body Lotion Variant 158,Body Care,Body Lotion,2022-11-29,516.0,187.0,True,50ml
SKU0159,Body Care Scrub Variant 159,Body Care,Scrub,2022-07-27,1331.0,538.0,True,60 capsules
SKU0160,Body Care Body Lotion Variant 160,Body Care,Body Lotion,2021-05-05,501.0,204.0,True,30ml
SKU0161,Body Care Body Wash Variant 161,Body Care,Body Wash,2023-01-13,1371.0,570.0,True,250g
SKU0162,Body Care Scrub Variant 162,Body Care,Scrub,2022-07-08,588.0,278.0,True,200ml
SKU0163,Body Care Body Lotion Variant 163,Body Care,Body Lotion,2023-04-28,1498.0,675.0,True,60 capsules
SKU0164,Body Care Body Wash Variant 164,Body Care,Body Wash,2022-04-07,946.0,453.0,True,500g
SKU0165,Body Care Body Wash Variant 165,Body Care,Body Wash,2023-08-24,210.0,95.0,True,1kg
SKU0166,Body Care Body Wash Variant 166,Body Care,Body Wash,2021-12-11,1207.0,394.0,True,150ml
SKU0167,Body Care Scrub Variant 167,Body Care,Scrub,2023-02-25,525.0,226.0,True,30ml
SKU0168,Body Care Body Wash Variant 168,Body Care,Body Wash,2021-11-15,1224.0,351.0,True,50ml
SKU0169,Body Care Body Wash Variant 169,Body Care,Body Wash,2022-10-17,624.0,227.0,True,30 tablets
SKU0170,Body Care Body Wash Variant 170,Body Care,Body Wash,2022-12-31,889.0,411.0,True,1kg
SKU0171,Body Care Body Wash Variant 171,Body Care,Body Wash,2023-04-11,1170.0,407.0,True,50ml
SKU0172,Body Care Body Lotion Variant 172,Body Care,Body Lotion,2021-09-10,1179.0,383.0,False,30 tablets
SKU0173,Body Care Body Wash Variant 173,Body Care,Body Wash,2022-06-09,316.0,113.0,True,1kg
SKU0174,Body Care Body Wash Variant 174,Body Care,Body Wash,2021-10-13,1074.0,445.0,True,250g
SKU0175,Body Care Body Lotion Variant 175,Body Care,Body Lotion,2020-10-09,1076.0,403.0,True,60 capsules
SKU0176,Body Care Body Lotion Variant 176,Body Care,Body Lotion,2021-04-26,1041.0,424.0,True,200ml
SKU0177,Body Care Scrub Variant 177,Body Care,Scrub,2023-09-17,730.0,225.0,True,1kg
SKU0178,Body Care Body Lotion Variant 178,Body Care,Body Lotion,2023-02-28,325.0,149.0,True,250g
SKU0179,Body Care Scrub Variant 179,Body Care,Scrub,2020-11-21,1433.0,601.0,True,100ml
SKU0180,Body Care Body Wash Variant 180,Body Care,Body Wash,2021-08-19,1050.0,469.0,False,200ml
SKU0181,Body Care Body Lotion Variant 181,Body Care,Body Lotion,2021-06-05,1096.0,355.0,False,250g
SKU0182,Body Care Body Lotion Variant 182,Body Care,Body Lotion,2021-11-28,1474.0,521.0,True,200ml
SKU0183,Body Care Body Lotion Variant 183,Body Care,Body Lotion,2021-05-15,1458.0,685.0,True,150ml
SKU0184,Body Care Scrub Variant 184,Body Care,Scrub,2023-08-21,1030.0,488.0,True,150ml
SKU0185,Body Care Body Lotion Variant 185,Body Care,Body Lotion,2020-10-23,1222.0,392.0,True,150ml
SKU0186,Body Care Body Lotion Variant 186,Body Care,Body Lotion,2023-11-27,626.0,194.0,True,100ml
SKU0187,Body Care Body Lotion Variant 187,Body Care,Body Lotion,2023-04-21,901.0,396.0,True,30ml
SKU0188,Body Care Body Lotion Variant 188,Body Care,Body Lotion,2022-08-02,218.0,95.0,True,30ml
SKU0189,Oral Care Toothpaste Variant 189,Oral Care,Toothpaste,2021-07-23,544.0,166.0,True,50ml
SKU0190,Oral Care Mouthwash Variant 190,Oral Care,Mouthwash,2023-04-23,782.0,276.0,True,150ml
SKU0191,Oral Care Tooth Serum Variant 191,Oral Care,Tooth Serum,2020-12-30,255.0,111.0,True,30ml
SKU0192,Oral Care Toothpaste Variant 192,Oral Care,Toothpaste,2021-07-12,1497.0,673.0,True,1kg
SKU0193,Oral Care Tooth Serum Variant 193,Oral Care,Tooth Serum,2023-06-20,1382.0,407.0,True,100ml
SKU0194,Oral Care Toothpaste Variant 194,Oral Care,Toothpaste,2020-11-04,363.0,147.0,True,500g
SKU0195,Oral Care Tooth Serum Variant 195,Oral Care,Tooth Serum,2021-07-04,889.0,330.0,True,50ml
SKU0196,Oral Care Tooth Serum Variant 196,Oral Care,Tooth Serum,2022-09-18,1045.0,453.0,True,150ml
SKU0197,Oral Care Mouthwash Variant 197,Oral Care,Mouthwash,2021-08-03,640.0,237.0,True,250g
SKU0198,Oral Care Mouthwash Variant 198,Oral Care,Mouthwash,2023-01-24,605.0,200.0,True,1kg
SKU0199,Oral Care Toothpaste Variant 199,Oral Care,Toothpaste,2021-07-01,318.0,94.0,True,250g
SKU0200,Oral Care Toothpaste Variant 200,Oral Care,Toothpaste,2020-10-08,922.0,366.0,True,50ml
SKU0201,Oral Care Mouthwash Variant 201,Oral Care,Mouthwash,2021-07-19,659.0,272.0,True,30ml
SKU0202,Oral Care Mouthwash Variant 202,Oral Care,Mouthwash,2021-01-27,980.0,343.0,True,1kg
SKU0203,Oral Care Toothpaste Variant 203,Oral Care,Toothpaste,2020-10-19,1300.0,455.0,True,200ml
SKU0204,Oral Care Tooth Serum Variant 204,Oral Care,Tooth Serum,2020-10-10,493.0,180.0,False,60 capsules
SKU0205,Oral Care Tooth Serum Variant 205,Oral Care,Tooth Serum,2022-06-03,1076.0,421.0,True,200ml
SKU0206,Oral Care Tooth Serum Variant 206,Oral Care,Tooth Serum,2021-12-14,1190.0,553.0,True,100ml
SKU0207,Oral Care Tooth Serum Variant 207,Oral Care,Tooth Serum,2023-10-01,1054.0,310.0,True,30 tablets
SKU0208,Oral Care Toothpaste Variant 208,Oral Care,Toothpaste,2023-01-14,688.0,255.0,True,250g
SKU0209,Oral Care Tooth Serum Variant 209,Oral Care,Tooth Serum,2023-01-18,974.0,445.0,True,60 capsules
SKU0210,Oral Care Toothpaste Variant 210,Oral Care,Toothpaste,2021-07-17,1075.0,360.0,True,1kg
SKU0211,Oral Care Mouthwash Variant 211,Oral Care,Mouthwash,2023-04-13,554.0,239.0,True,50ml
SKU0212,Oral Care Mouthwash Variant 212,Oral Care,Mouthwash,2020-12-18,1081.0,431.0,True,30ml
SKU0213,Oral Care Toothpaste Variant 213,Oral Care,Toothpaste,2023-11-17,713.0,285.0,True,150ml
SKU0214,Oral Care Toothpaste Variant 214,Oral Care,Toothpaste,2023-04-01,1192.0,403.0,True,500g
SKU0215,Oral Care Toothpaste Variant 215,Oral Care,Toothpaste,2022-08-18,367.0,142.0,True,250g
SKU0216,Oral Care Toothpaste Variant 216,Oral Care,Toothpaste,2021-06-22,715.0,306.0,True,50ml
SKU0217,Oral Care Mouthwash Variant 217,Oral Care,Mouthwash,2021-07-30,947.0,374.0,True,500g
SKU0218,Oral Care Toothpaste Variant 218,Oral Care,Toothpaste,2021-05-04,1455.0,457.0,True,250g
SKU0219,Oral Care Toothpaste Variant 219,Oral Care,Toothpaste,2021-06-23,767.0,231.0,True,30 tablets
SKU0220,Oral Care Toothpaste Variant 220,Oral Care,Toothpaste,2022-01-06,713.0,244.0,True,100ml
SKU0221,Oral Care Toothpaste Variant 221,Oral Care,Toothpaste,2021-01-22,863.0,261.0,True,250g
SKU0222,Oral Care Mouthwash Variant 222,Oral Care,Mouthwash,2023-02-03,1145.0,508.0,True,100ml
SKU0223,Oral Care Mouthwash Variant 223,Oral Care,Mouthwash,2023-07-01,455.0,182.0,True,1kg
SKU0224,Oral Care Mouthwash Variant 224,Oral Care,Mouthwash,2021-05-27,1180.0,510.0,True,60 capsules
SKU0225,Oral Care Tooth Serum Variant 225,Oral Care,Tooth Serum,2022-02-23,1025.0,415.0,True,50ml
SKU0226,Oral Care Mouthwash Variant 226,Oral Care,Mouthwash,2022-05-19,774.0,264.0,True,250g
SKU0227,Oral Care Tooth Serum Variant 227,Oral Care,Tooth Serum,2023-09-16,295.0,110.0,True,200ml
SKU0228,Oral Care Toothpaste Variant 228,Oral Care,Toothpaste,2023-06-01,1037.0,493.0,True,30 tablets
SKU0229,Oral Care Mouthwash Variant 229,Oral Care,Mouthwash,2023-09-09,801.0,313.0,True,60 capsules
SKU0230,Oral Care Tooth Serum Variant 230,Oral Care,Tooth Serum,2021-02-09,444.0,178.0,True,30ml
SKU0231,Oral Care Mouthwash Variant 231,Oral Care,Mouthwash,2021-12-29,334.0,154.0,False,50ml
SKU0232,Oral Care Tooth Serum Variant 232,Oral Care,Tooth Serum,2021-06-19,1039.0,299.0,False,30 tablets
SKU0233,Oral Care Tooth Serum Variant 233,Oral Care,Tooth Serum,2022-05-02,992.0,350.0,True,250g
SKU0234,Oral Care Tooth Serum Variant 234,Oral Care,Tooth Serum,2022-01-16,976.0,427.0,True,50ml
SKU0235,Oral Care Tooth Serum Variant 235,Oral Care,Tooth Serum,2023-01-29,1081.0,364.0,True,60 capsules
SKU0236,Baby Care Baby Oil Variant 236,Baby Care,Baby Oil,2021-09-21,383.0,134.0,True,50ml
SKU0237,Baby Care Baby Lotion Variant 237,Baby Care,Baby Lotion,2022-01-29,926.0,378.0,True,30 tablets
SKU0238,Baby Care Baby Wash Variant 238,Baby Care,Baby Wash,2021-11-21,1039.0,379.0,True,200ml
SKU0239,Baby Care Baby Wash Variant 239,Baby Care,Baby Wash,2021-03-12,1436.0,500.0,True,100ml
SKU0240,Baby Care Baby Wash Variant 240,Baby Care,Baby Wash,2023-05-09,299.0,134.0,True,30 tablets
SKU0241,Baby Care Baby Oil Variant 241,Baby Care,Baby Oil,2022-01-12,1348.0,388.0,True,60 capsules
SKU0242,Baby Care Baby Wash Variant 242,Baby Care,Baby Wash,2022-11-27,975.0,303.0,True,60 capsules
SKU0243,Baby Care Baby Wash Variant 243,Baby Care,Baby Wash,2021-11-16,1137.0,328.0,True,150ml
SKU0244,Baby Care Baby Lotion Variant 244,Baby Care,Baby Lotion,2021-05-27,993.0,427.0,True,150ml
SKU0245,Baby Care Baby Lotion Variant 245,Baby Care,Baby Lotion,2022-10-31,1454.0,635.0,True,60 capsules
SKU0246,Baby Care Baby Lotion Variant 246,Baby Care,Baby Lotion,2021-10-11,799.0,269.0,True,500g
SKU0247,Baby Care Baby Wash Variant 247,Baby Care,Baby Wash,2023-02-22,1261.0,555.0,True,30ml
SKU0248,Baby Care Baby Oil Variant 248,Baby Care,Baby Oil,2023-05-06,824.0,292.0,True,30 tablets
SKU0249,Baby Care Baby Wash Variant 249,Baby Care,Baby Wash,2022-05-23,570.0,247.0,True,30 tablets
SKU0250,Baby Care Baby Wash Variant 250,Baby Care,Baby Wash,2022-09-04,1279.0,382.0,True,250g
SKU0251,Baby Care Baby Wash Variant 251,Baby Care,Baby Wash,2021-10-28,738.0,265.0,True,50ml
SKU0252,Baby Care Baby Lotion Variant 252,Baby Care,Baby Lotion,2023-05-14,491.0,169.0,True,250g
SKU0253,Baby Care Baby Wash Variant 253,Baby Care,Baby Wash,2021-04-09,378.0,128.0,True,100ml
SKU0254,Baby Care Baby Oil Variant 254,Baby Care,Baby Oil,2023-06-23,809.0,326.0,True,150ml
SKU0255,Baby Care Baby Wash Variant 255,Baby Care,Baby Wash,2020-12-17,912.0,388.0,True,200ml
SKU0256,Baby Care Baby Wash Variant 256,Baby Care,Baby Wash,2021-07-26,590.0,171.0,True,60 capsules
SKU0257,Baby Care Baby Lotion Variant 257,Baby Care,Baby Lotion,2021-02-12,281.0,126.0,True,30ml
SKU0258,Baby Care Baby Oil Variant 258,Baby Care,Baby Oil,2023-02-11,869.0,285.0,True,30ml
SKU0259,Baby Care Baby Oil Variant 259,Baby Care,Baby Oil,2022-11-14,658.0,259.0,True,50ml
SKU0260,Baby Care Baby Oil Variant 260,Baby Care,Baby Oil,2020-12-20,1466.0,430.0,True,30 tablets
SKU0261,Baby Care Baby Oil Variant 261,Baby Care,Baby Oil,2023-09-04,225.0,102.0,True,250g
SKU0262,Baby Care Baby Lotion Variant 262,Baby Care,Baby Lotion,2023-07-17,1171.0,412.0,True,50ml
SKU0263,Baby Care Baby Oil Variant 263,Baby Care,Baby Oil,2023-09-03,1155.0,400.0,True,250g
SKU0264,Baby Care Baby Oil Variant 264,Baby Care,Baby Oil,2021-04-25,427.0,186.0,False,1kg
SKU0265,Baby Care Baby Oil Variant 265,Baby Care,Baby Oil,2021-05-09,436.0,134.0,True,150ml
SKU0266,Baby Care Baby Wash Variant 266,Baby Care,Baby Wash,2022-02-24,1227.0,561.0,False,30 tablets
SKU0267,Baby Care Baby Lotion Variant 267,Baby Care,Baby Lotion,2022-07-02,1485.0,577.0,True,150ml
SKU0268,Baby Care Baby Lotion Variant 268,Baby Care,Baby Lotion,2022-01-22,663.0,289.0,True,250g
SKU0269,Baby Care Baby Lotion Variant 269,Baby Care,Baby Lotion,2021-10-02,1355.0,581.0,True,100ml
SKU0270,Baby Care Baby Lotion Variant 270,Baby Care,Baby Lotion,2021-01-03,1099.0,388.0,True,50ml
SKU0271,Baby Care Baby Oil Variant 271,Baby Care,Baby Oil,2022-11-28,751.0,275.0,True,250g
SKU0272,Baby Care Baby Wash Variant 272,Baby Care,Baby Wash,2022-03-15,303.0,125.0,True,500g
SKU0273,Baby Care Baby Wash Variant 273,Baby Care,Baby Wash,2023-09-07,1096.0,384.0,True,250g
SKU0274,Baby Care Baby Oil Variant 274,Baby Care,Baby Oil,2023-08-07,1497.0,501.0,True,500g
SKU0275,Baby Care Baby Lotion Variant 275,Baby Care,Baby Lotion,2023-01-09,866.0,372.0,False,100ml
SKU0276,Baby Care Baby Oil Variant 276,Baby Care,Baby Oil,2023-03-19,1081.0,397.0,True,250g
SKU0277,Baby Care Baby Lotion Variant 277,Baby Care,Baby Lotion,2023-01-22,697.0,274.0,True,250g
SKU0278,Baby Care Baby Lotion Variant 278,Baby Care,Baby Lotion,2023-02-24,776.0,229.0,True,500g
SKU0279,Baby Care Baby Lotion Variant 279,Baby Care,Baby Lotion,2023-04-14,1043.0,344.0,True,100ml
SKU0280,Baby Care Baby Lotion Variant 280,Baby Care,Baby Lotion,2023-04-05,872.0,403.0,True,200ml
